12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): header.header > a.header__heading-link > img.header__heading-logo → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.cart-main > div.cart-head > img.tw-w-40 → +25
[12:58:48 AM] 📉 LOW SCORE REJECTED (0): https://www.joahbrown.com/cdn/shop/t/813/assets/joah-brown-logo.png?v=79119391495838524431758820820 | Found by: div.cart-main > div.cart-head > img.tw-w-40
0
📋 Copy URL
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.swiper-wrapper > div.tvg_cart_upsell_kW8qqW_CartUpsell__product > img → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.swiper-wrapper > div.tvg_cart_upsell_kW8qqW_CartUpsell__product > img → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.swiper-wrapper > div.tvg_cart_upsell_kW8qqW_CartUpsell__product > img → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.swiper-wrapper > div.tvg_cart_upsell_kW8qqW_CartUpsell__product > img → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.swiper-wrapper > div.tvg_cart_upsell_kW8qqW_CartUpsell__product > img → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.swiper-wrapper > div.tvg_cart_upsell_kW8qqW_CartUpsell__product > img → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-media-modal__dialog > div.product-media-modal__content > img.global-media-settings → +25
